date,price
10/27/2017,1322
10/30/2017,1327.8
10/31/2017,1320.6
11/1/2017,1327.5
11/2/2017,1328.3
11/3/2017,1319.8
11/6/2017,1332.4
11/7/2017,1326.5
11/8/2017,1334.9
11/9/2017,1339.4
11/10/2017,1327.1
11/13/2017,1332.5
11/14/2017,1336.3
11/15/2017,1330.8
11/16/2017,1331.5
11/17/2017,1350.1
11/20/2017,1329.4
11/21/2017,1336.5
11/22/2017,1347.1
11/23/2017,1291.66
11/24/2017,1342.3
11/27/2017,1349.4
11/28/2017,1349.7
11/29/2017,1337.1
11/30/2017,1328
12/1/2017,1333.5
12/4/2017,1328.7
12/5/2017,1315.8
12/6/2017,1316.9
12/7/2017,1303.7
12/8/2017,1298.8
12/11/2017,1297.5
12/12/2017,1292.6
12/13/2017,1299.4
12/14/2017,1307.9
12/15/2017,1308.1
12/18/2017,1316.3
12/19/2017,1315.5
12/20/2017,1321.1
12/21/2017,1322
12/22/2017,1330.5
12/25/2017,1277.9
12/26/2017,1339.2
12/27/2017,1343
12/28/2017,1350.1
12/29/2017,1362.6
1/1/2018,1308.7
1/2/2018,1370.5
1/3/2018,1374.2
1/4/2018,1377.4
1/5/2018,1378.4
1/8/2018,1376.8
1/9/2018,1370
1/10/2018,1377
1/11/2018,1380.1
1/12/2018,1394.4
1/15/2018,1341.8
1/16/2018,1396.8
1/17/2018,1399.7
1/18/2018,1387.4
1/19/2018,1394.3
1/22/2018,1394
1/23/2018,1398.2
1/24/2018,1419.1
1/25/2018,1425.9
1/26/2018,1416
1/29/2018,1403.6
1/30/2018,1398.5
1/31/2018,1401.7
2/1/2018,1406.7
2/2/2018,1396.2
2/5/2018,1394.5
2/6/2018,1387
2/7/2018,1372.3
2/8/2018,1376.4
2/9/2018,1372.3
2/12/2018,1383.1
2/13/2018,1387
2/14/2018,1415.1
2/15/2018,1413.7
2/16/2018,1415
2/19/2018,1347.8
2/20/2018,1390.1
2/21/2018,1392.3
2/22/2018,1393.1
2/23/2018,1390.7
2/26/2018,1394.8
2/27/2018,1381.3
2/28/2018,1380.8
3/1/2018,1367.6
3/2/2018,1385.8
3/5/2018,1382.1
3/6/2018,1397.5
3/7/2018,1389.5
3/8/2018,1384
3/9/2018,1386.9
3/12/2018,1383.7
3/13/2018,1390.3
3/14/2018,1388.6
3/15/2018,1380.6
3/16/2018,1375.2
3/19/2018,1380.6
3/20/2018,1375.1
3/21/2018,1385.5
3/22/2018,1391.1
3/23/2018,1413.9
3/26/2018,1419.9
3/27/2018,1406.7
3/28/2018,1387.8
3/29/2018,1384.9
3/30/2018,1384.9
4/2/2018,1404.7
4/3/2018,1395.4
4/4/2018,1398.6
4/5/2018,1387
4/6/2018,1394.8
4/9/2018,1398.5
4/10/2018,1404.4
4/11/2018,1418.9
4/12/2018,1400.3
4/13/2018,1406.6
4/16/2018,1409.3
4/17/2018,1408
4/18/2018,1412.2
4/19/2018,1407.5
4/20/2018,1396.9
4/23/2018,1382.7
4/24/2018,1391.8
4/25/2018,1381.6
4/26/2018,1376.7
4/27/2018,1382.3
4/30/2018,1377.8
5/1/2018,1365.1
5/2/2018,1364
5/3/2018,1371.1
5/4/2018,1373.4
5/7/2018,1372.9
5/8/2018,1372.5
5/9/2018,1371.7
5/10/2018,1380.8
5/11/2018,1379.1
5/14/2018,1376.6
5/15/2018,1348.5
5/16/2018,1350.1
5/17/2018,1347.9
5/18/2018,1349.2
5/21/2018,1349
5/22/2018,1350
5/23/2018,1347.4
5/24/2018,1362.4
5/25/2018,1361.4
5/28/2018,1297.6
5/29/2018,1354.6
5/30/2018,1357.6
5/31/2018,1355.9
6/1/2018,1350.9
